company,stage,country,sector,funding_amount,investors_count,founded_year,status,last_funding_date,estimated_revenue,capital_efficiency,monthly_burn,runway_months,burn_multiple,traction_index,rule_of_40,rule_of_40_norm,traction_index_norm,capital_efficiency_norm,burn_multiple_norm,runway_months_norm,investment_score,rank
Senesco Technologies,Series D+,USA,biotech,38425000.0,14.0,,ipo,2013-12-12,38425000.0,1.0,1067361.111111111,18.0,0.3333333333333333,93.3974478681163,75.0,75.0,93.3974478681163,100.0,100.0,75.0,88.35,1
Fab.com,Series C,USA,ecommerce,336325000.0,32.0,2011.0,operating,2013-08-12,269060000.0,0.8,9342361.111111112,18.0,0.4166666666666667,100.0,75.0,75.0,100.0,80.0,79.31034482758619,75.0,82.9,2
Amp'd Mobile,Series C,,mobile,374000000.0,15.0,,closed,2007-03-21,299200000.0,0.8,10388888.888888888,18.0,0.4166666666666666,94.25629176163646,75.0,75.0,94.25629176163646,80.0,79.31034482758622,75.0,81.46,3
Arno Therapeutics,Series D+,USA,biotech,46000000.0,8.0,,operating,2013-10-30,46000000.0,1.0,1277777.7777777778,18.0,0.3333333333333333,53.91464734459983,75.0,75.0,53.91464734459983,100.0,100.0,75.0,78.48,4
Help Scout,Series D+,USA,software,3450430.0,17.0,2011.0,operating,2012-09-06,3450430.0,1.0,95845.27777777778,18.0,0.3333333333333333,48.873889230821874,75.0,75.0,48.873889230821874,100.0,100.0,75.0,77.22,5
Pulmonx,Series D+,USA,biotech,73500000.0,7.0,,operating,2012-01-31,73500000.0,1.0,2041666.6666666667,18.0,0.3333333333333333,48.42708402125046,75.0,75.0,48.42708402125046,100.0,100.0,75.0,77.11,6
Ultragenyx Pharmaceutical,Series D+,USA,biotech,135100005.0,6.0,,operating,2012-12-31,135100005.0,1.0,3752777.9166666665,18.0,0.3333333333333333,42.902549090973466,75.0,75.0,42.902549090973466,100.0,100.0,75.0,75.73,7
Linio,Series D+,MEX,ecommerce,96500000.0,6.0,2012.0,operating,2013-11-05,96500000.0,1.0,2680555.5555555555,18.0,0.3333333333333333,42.13126309027173,75.0,75.0,42.13126309027173,100.0,100.0,75.0,75.53,8
Verastem,Series D+,USA,biotech,70000000.0,6.0,,ipo,2012-07-19,70000000.0,1.0,1944444.4444444445,18.0,0.3333333333333333,41.39533425718154,75.0,75.0,41.39533425718154,100.0,100.0,75.0,75.35,9
Lore,Series D+,USA,education,12123837.0,12.0,2011.0,acquired,2012-04-05,12123837.0,1.0,336773.25,18.0,0.3333333333333333,37.37624380304073,75.0,75.0,37.37624380304073,100.0,100.0,75.0,74.34,10
